scenario,run_kind,source_file,callback_profile,workers,producers,capacity,tasks,measured_iterations,min_throughput_tasks_per_second,max_throughput_tasks_per_second,median_throughput_tasks_per_second,mean_throughput_tasks_per_second,p95_throughput_tasks_per_second,throughput_population_stddev,median_of_iteration_p50_submit_latency_ns,median_of_iteration_p95_submit_latency_ns,median_of_iteration_p50_end_to_end_latency_ns,median_of_iteration_p95_end_to_end_latency_ns,median_shutdown_latency_ns,median_join_latency_ns,median_total_duration_ns,speedup,efficiency,correctness,notes
worker_scaling,primary,workers_noop_w1_p4_c64_t100000.csv,noop,1,4,64,100000,10,1130514.508458,1608593.751257,1322716.330256,1369240.040264,1608593.751257,170786.510942,1700.000000,7100.000000,48000.000000,64400.000000,3800.000000,52200.000000,72946600.000000,1.000000,1.000000,true,median latency columns summarize per-iteration percentiles; primary
worker_scaling,primary,workers_noop_w2_p4_c64_t100000.csv,noop,2,4,64,100000,10,1096045.358741,1391829.127922,1200634.415225,1210755.813017,1391829.127922,82728.788079,2100.000000,8700.000000,52100.000000,69600.000000,5800.000000,73500.000000,82649000.000000,0.907704,0.453852,true,median latency columns summarize per-iteration percentiles; primary
worker_scaling,primary,workers_noop_w4_p4_c64_t100000.csv,noop,4,4,64,100000,10,1085156.577243,1504462.989458,1269844.494843,1287033.977767,1504462.989458,100221.229149,1800.000000,8400.000000,12900.000000,54700.000000,10300.000000,112000.000000,77899400.000000,0.960028,0.240007,true,median latency columns summarize per-iteration percentiles; primary
worker_scaling,primary,workers_noop_w8_p4_c64_t100000.csv,noop,8,4,64,100000,10,947922.107345,1155230.653352,1011325.838060,1019904.497104,1155230.653352,61375.969903,1700.000000,7800.000000,4000.000000,48900.000000,51200.000000,210300.000000,96224100.000000,0.764583,0.095573,true,median latency columns summarize per-iteration percentiles; primary
producer_scaling,primary,producers_noop_w4_p1_c64_t100000.csv,noop,4,1,64,100000,10,1049628.536461,1407974.769092,1269154.717575,1280700.715193,1407974.769092,108048.637925,600.000000,1300.000000,900.000000,1800.000000,12100.000000,130000.000000,75687800.000000,,,true,median latency columns summarize per-iteration percentiles; primary
producer_scaling,primary,producers_noop_w4_p2_c64_t100000.csv,noop,4,2,64,100000,10,1091125.332111,1258504.343098,1211275.521575,1193741.278795,1258504.343098,50371.860919,1100.000000,4200.000000,1900.000000,5600.000000,12500.000000,135400.000000,82342800.000000,,,true,median latency columns summarize per-iteration percentiles; primary
capacity_scaling,primary,capacity_noop_w4_p4_c1_t100000.csv,noop,4,4,1,100000,10,384087.117104,944850.940316,574334.705036,609214.166728,944850.940316,162309.869486,1800.000000,18500.000000,2300.000000,19100.000000,33900.000000,110200.000000,172333200.000000,,,true,median latency columns summarize per-iteration percentiles; primary
capacity_scaling,primary,capacity_noop_w4_p4_c16_t100000.csv,noop,4,4,16,100000,10,1147520.666847,1411211.510970,1252624.247799,1269792.896539,1411211.510970,78538.605669,1900.000000,8500.000000,6900.000000,17000.000000,11600.000000,105200.000000,79543300.000000,,,true,median latency columns summarize per-iteration percentiles; primary
capacity_scaling,primary,capacity_noop_w4_p4_c256_t100000.csv,noop,4,4,256,100000,10,1202413.002413,1454352.951100,1259493.431742,1295051.694164,1454352.951100,93478.149605,1700.000000,8300.000000,36500.000000,191500.000000,10900.000000,123200.000000,78921900.000000,,,true,median latency columns summarize per-iteration percentiles; primary
callback_profiles,primary,profiles_light_cpu_w4_p4_c64_t100000.csv,light_cpu,4,4,64,100000,10,1096631.914401,1586457.994558,1303198.178650,1331567.119478,1586457.994558,125161.400476,1900.000000,8100.000000,43100.000000,62400.000000,10600.000000,111200.000000,76141700.000000,1.060433,0.265108,true,median latency columns summarize per-iteration percentiles; primary
callback_profiles,primary,profiles_medium_cpu_w4_p4_c64_t100000.csv,medium_cpu,4,4,64,100000,10,202749.896851,247581.622709,224902.459803,223445.780761,247581.622709,15112.896504,4900.000000,65200.000000,280900.000000,449700.000000,700.000000,274900.000000,438824600.000000,,,true,median latency columns summarize per-iteration percentiles; primary
