timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,correctness_passed
2026-07-28T20:24:45.440Z,throughput,controlled_blocking,validated,1,1,1,1,1000,1000,1000,0,358700,6300,66000,431200,2319109.461967,235.300,200,300,100,31000,319.000,200,400,true
2026-07-28T20:24:45.442Z,throughput,controlled_blocking,validated,2,1,1,1,1000,1000,1000,0,772500,2500,54000,829000,1206272.617612,641.300,600,900,200,25300,811.300,700,1200,true
2026-07-28T20:24:45.442Z,throughput,controlled_blocking,validated,3,1,1,1,1000,1000,1000,0,415800,7000,63800,486600,2055076.037813,295.300,200,300,100,85000,406.900,200,400,true
2026-07-28T20:24:45.444Z,throughput,controlled_blocking,validated,4,1,1,1,1000,1000,1000,0,919900,5100,61600,986800,1013376.570734,746.100,600,1000,300,33600,1011.700,800,1200,true
2026-07-28T20:24:45.445Z,throughput,controlled_blocking,validated,5,1,1,1,1000,1000,1000,0,558600,4700,57100,620500,1611603.545528,433.600,300,800,100,20500,563.300,400,1000,true
2026-07-28T20:24:45.446Z,throughput,controlled_blocking,validated,6,1,1,1,1000,1000,1000,0,665900,5400,60700,732200,1365747.063644,541.600,400,800,200,25700,781.700,600,1100,true
2026-07-28T20:24:45.446Z,throughput,controlled_blocking,validated,7,1,1,1,1000,1000,1000,0,845300,5600,63800,914700,1093254.619001,713.200,500,900,300,36200,943.100,700,1100,true
2026-07-28T20:24:45.449Z,throughput,controlled_blocking,validated,8,1,1,1,1000,1000,1000,0,2004900,2800,78600,2086400,479294.478528,1837.900,500,1000,100,323600,2719.600,700,1300,true
2026-07-28T20:24:45.449Z,throughput,controlled_blocking,validated,9,1,1,1,1000,1000,1000,0,849000,5900,66000,920900,1085894.233902,715.400,500,800,200,93500,970.600,600,1100,true
2026-07-28T20:24:45.453Z,throughput,controlled_blocking,validated,10,1,1,1,1000,1000,1000,0,391100,6000,60500,457700,2184837.229626,268.400,200,300,100,39000,414.600,200,400,true
