timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,correctness_passed
2026-07-28T20:24:22.779Z,throughput,noop,validated,1,4,1,64,100000,100000,100000,0,80291300,10200,120000,80421500,1243448.580293,761.162,700,1200,0,95300,1252.653,900,1600,true
2026-07-28T20:24:22.883Z,throughput,noop,validated,2,4,1,64,100000,100000,100000,0,95114200,12600,145000,95271800,1049628.536461,908.877,800,1400,0,141100,1510.320,1100,1900,true
2026-07-28T20:24:22.970Z,throughput,noop,validated,3,4,1,64,100000,100000,100000,0,75547300,10500,130000,75687800,1321216.893608,713.072,500,1400,0,191000,1622.628,800,2100,true
2026-07-28T20:24:23.049Z,throughput,noop,validated,4,4,1,64,100000,100000,100000,0,71477400,13700,115500,71606800,1396515.414737,674.228,600,1300,0,80600,1499.047,900,1900,true
2026-07-28T20:24:23.129Z,throughput,noop,validated,5,4,1,64,100000,100000,100000,0,74932500,10500,123000,75066000,1332161.031626,709.242,600,1400,0,204600,1210.239,800,1800,true
2026-07-28T20:24:23.219Z,throughput,noop,validated,6,4,1,64,100000,100000,100000,0,81235800,13800,173600,81423300,1228149.681971,770.166,700,1400,0,242000,1326.682,900,1800,true
2026-07-28T20:24:23.303Z,throughput,noop,validated,7,4,1,64,100000,100000,100000,0,70863100,12400,148400,71024000,1407974.769092,668.605,600,1300,0,105600,1150.293,800,1600,true
2026-07-28T20:24:23.384Z,throughput,noop,validated,8,4,1,64,100000,100000,100000,0,71730200,11500,120700,71862500,1391546.355888,676.896,600,1100,0,181500,1242.586,800,1500,true
2026-07-28T20:24:23.470Z,throughput,noop,validated,9,4,1,64,100000,100000,100000,0,85471600,12100,190200,85674300,1167211.170678,812.548,700,1400,0,183000,1605.960,1000,1900,true
2026-07-28T20:24:23.565Z,throughput,noop,validated,10,4,1,64,100000,100000,100000,0,78631700,12300,148600,78792600,1269154.717575,742.578,700,1200,0,95100,1128.356,900,1500,true
