timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,correctness_passed
2026-07-28T20:24:33.225Z,throughput,medium_cpu,validated,1,4,4,64,100000,100000,100000,0,481531300,12900,301200,481845500,207535.402946,18729.326,5800,68500,0,2512500,337895.656,309600,509200,true
2026-07-28T20:24:33.743Z,throughput,medium_cpu,validated,2,4,4,64,100000,100000,100000,0,492942900,700,274900,493218500,202749.896851,19279.129,5700,72900,0,1788200,346299.888,318100,518200,true
2026-07-28T20:24:34.226Z,throughput,medium_cpu,validated,3,4,4,64,100000,100000,100000,0,469089100,700,267100,469357000,213057.438155,18498.414,5500,69100,0,6992000,329825.399,300000,494600,true
2026-07-28T20:24:34.692Z,throughput,medium_cpu,validated,4,4,4,64,100000,100000,100000,0,444350100,500,286600,444637200,224902.459803,17460.414,4700,65800,0,7065200,313047.501,280900,473800,true
2026-07-28T20:24:35.125Z,throughput,medium_cpu,validated,5,4,4,64,100000,100000,100000,0,425167900,600,227300,425395800,235075.193502,16804.853,4400,64800,0,719200,299137.605,272900,439300,true
2026-07-28T20:24:35.558Z,throughput,medium_cpu,validated,6,4,4,64,100000,100000,100000,0,416292000,600,239800,416532500,240077.304892,16444.094,4400,62400,0,1799300,293196.848,269600,432000,true
2026-07-28T20:24:36.009Z,throughput,medium_cpu,validated,7,4,4,64,100000,100000,100000,0,430371200,800,296300,430668300,232197.261791,16916.664,4900,64500,0,1534700,302972.099,277700,449700,true
2026-07-28T20:24:36.467Z,throughput,medium_cpu,validated,8,4,4,64,100000,100000,100000,0,438307200,700,516600,438824600,227881.481576,17344.627,4900,65200,0,939700,308631.067,281400,447600,true
2026-07-28T20:24:36.890Z,throughput,medium_cpu,validated,9,4,4,64,100000,100000,100000,0,403629400,900,276900,403907200,247581.622709,15950.560,4100,61600,0,1965700,284729.191,267600,397400,true
2026-07-28T20:24:37.390Z,throughput,medium_cpu,validated,10,4,4,64,100000,100000,100000,0,491377700,4600,260300,491642700,203399.745384,19433.704,4900,77700,0,2919500,345139.209,325800,502900,true
