timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,correctness_passed
2026-07-28T20:24:41.985Z,throughput,noop,validated,1,4,4,64,100000,100000,100000,0,122158200,14900,177200,122350300,817325.335532,4691.320,2400,14000,100,11896500,48678.268,52500,97000,true
2026-07-28T20:24:42.102Z,throughput,noop,validated,2,4,4,64,100000,100000,100000,0,98634300,14100,157100,98805500,1012089.407978,3829.795,2400,11200,100,1048600,20104.439,12200,65200,true
2026-07-28T20:24:42.218Z,throughput,noop,validated,3,4,4,64,100000,100000,100000,0,105709200,13200,139800,105862300,944623.345610,4109.553,2500,11800,100,2537600,32559.643,23000,83600,true
2026-07-28T20:24:42.352Z,throughput,noop,validated,4,4,4,64,100000,100000,100000,0,110051000,17700,123500,110192200,907505.249918,4276.647,3200,10600,100,2188100,6413.684,4200,14100,true
2026-07-28T20:24:42.468Z,throughput,noop,validated,5,4,4,64,100000,100000,100000,0,107314600,9900,175600,107500200,930230.827478,3805.344,1900,9900,100,12794800,25109.279,13600,73700,true
2026-07-28T20:24:42.627Z,throughput,noop,validated,6,4,4,64,100000,100000,100000,0,128784200,12900,176300,128973500,775353.076407,4790.785,2700,14100,100,2074300,59339.236,66600,108800,true
2026-07-28T20:24:42.794Z,throughput,noop,validated,7,4,4,64,100000,100000,100000,0,141656400,16600,190000,141863000,704905.436936,5397.625,2900,14900,100,8648800,38745.709,23800,112000,true
2026-07-28T20:24:42.944Z,throughput,noop,validated,8,4,4,64,100000,100000,100000,0,130598300,16700,190700,130805800,764492.094387,4922.844,2700,13000,100,14163000,29098.856,14700,86600,true
2026-07-28T20:24:43.101Z,throughput,noop,validated,9,4,4,64,100000,100000,100000,0,130927300,17600,156900,131101800,762766.033723,4916.296,2400,14300,100,9816000,37473.078,17100,102100,true
2026-07-28T20:24:43.251Z,throughput,noop,validated,10,4,4,64,100000,100000,100000,0,137472100,14000,159300,137645400,726504.481806,5231.567,3500,12300,100,12780600,7885.960,4700,18800,true
