timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,correctness_passed
2026-07-28T20:24:39.238Z,throughput,light_cpu,validated,1,2,4,64,100000,100000,100000,0,88340900,6200,77000,88424200,1130912.125866,3430.731,2700,8500,0,943600,59759.198,57700,73100,true
2026-07-28T20:24:39.338Z,throughput,light_cpu,validated,2,2,4,64,100000,100000,100000,0,100698000,6700,105400,100810300,991962.130854,3898.299,3000,10100,0,679900,67608.437,65700,83600,true
2026-07-28T20:24:39.438Z,throughput,light_cpu,validated,3,2,4,64,100000,100000,100000,0,76849100,5600,66300,76921000,1300035.100948,3005.204,2100,7800,0,1718600,50025.322,50900,64600,true
2026-07-28T20:24:39.538Z,throughput,light_cpu,validated,4,2,4,64,100000,100000,100000,0,82752600,5500,57000,82815200,1207507.800500,3238.904,2400,8200,0,2954900,55831.565,54100,67500,true
2026-07-28T20:24:39.629Z,throughput,light_cpu,validated,5,2,4,64,100000,100000,100000,0,82840700,6600,62000,82909300,1206137.309084,3243.609,2600,8300,0,400700,56017.428,54200,68800,true
2026-07-28T20:24:39.704Z,throughput,light_cpu,validated,6,2,4,64,100000,100000,100000,0,59038600,5300,154600,59198600,1689229.137176,2280.463,1900,4800,0,983600,8263.163,3400,46100,true
2026-07-28T20:24:39.787Z,throughput,light_cpu,validated,7,2,4,64,100000,100000,100000,0,81872300,6600,73900,81952800,1220214.562529,3184.053,2400,8300,100,563900,55384.878,53700,67200,true
2026-07-28T20:24:39.898Z,throughput,light_cpu,validated,8,2,4,64,100000,100000,100000,0,86163700,8700,93900,86266300,1159201.217625,3330.900,2400,8800,0,1177500,57949.787,55900,75300,true
2026-07-28T20:24:39.988Z,throughput,light_cpu,validated,9,2,4,64,100000,100000,100000,0,83549100,8800,166000,83723900,1194402.076349,3280.220,2500,8200,0,822200,56266.453,54400,66400,true
2026-07-28T20:24:40.071Z,throughput,light_cpu,validated,10,2,4,64,100000,100000,100000,0,64758300,6300,88400,64853000,1541948.714786,2476.293,2000,5000,0,545700,11227.717,2800,54900,true
