timestamp_utc,scenario,callback_profile,mode,iteration,workers,producers,capacity,tasks_attempted,tasks_accepted,tasks_executed,tasks_rejected,submit_duration_ns,shutdown_duration_ns,join_duration_ns,total_duration_ns,throughput_tasks_per_second,mean_submit_latency_ns,p50_submit_latency_ns,p95_submit_latency_ns,min_submit_latency_ns,max_submit_latency_ns,mean_end_to_end_latency_ns,p50_end_to_end_latency_ns,p95_end_to_end_latency_ns,correctness_passed
2026-07-28T20:24:17.194Z,throughput,noop,validated,1,1,4,64,100000,100000,100000,0,75546000,3800,52200,75602000,1322716.330256,2960.873,2200,7800,0,218200,38374.753,51900,71700,true
2026-07-28T20:24:17.293Z,throughput,noop,validated,2,1,4,64,100000,100000,100000,0,84770100,3300,69600,84843100,1178646.230513,3329.307,2600,8500,0,513200,56278.199,54900,71500,true
2026-07-28T20:24:17.385Z,throughput,noop,validated,3,1,4,64,100000,100000,100000,0,75835900,6000,51100,75893100,1317642.842366,2944.827,2300,7900,100,306800,50482.176,50000,64400,true
2026-07-28T20:24:17.475Z,throughput,noop,validated,4,1,4,64,100000,100000,100000,0,88348200,5000,102000,88455300,1130514.508458,3440.282,2700,8000,0,538500,51669.674,55300,73200,true
2026-07-28T20:24:17.584Z,throughput,noop,validated,5,1,4,64,100000,100000,100000,0,87125300,14400,46500,87186200,1146970.506800,3376.738,2500,9000,0,736500,56292.716,57200,78100,true
2026-07-28T20:24:17.658Z,throughput,noop,validated,6,1,4,64,100000,100000,100000,0,62121200,3500,41300,62166100,1608593.751257,2360.752,1300,5200,0,7676800,40520.657,38800,54100,true
2026-07-28T20:24:17.742Z,throughput,noop,validated,7,1,4,64,100000,100000,100000,0,65230800,2500,41800,65275100,1531977.737300,2533.932,1600,5500,0,8659000,38914.615,41900,56600,true
2026-07-28T20:24:17.808Z,throughput,noop,validated,8,1,4,64,100000,100000,100000,0,64022400,2500,156600,64181500,1558081.378590,2451.850,1500,5900,0,9398300,40570.286,41800,58400,true
2026-07-28T20:24:17.897Z,throughput,noop,validated,9,1,4,64,100000,100000,100000,0,65414300,6400,93300,65514000,1526391.305675,2447.752,1300,5600,0,8083100,41009.328,43500,55300,true
2026-07-28T20:24:17.988Z,throughput,noop,validated,10,1,4,64,100000,100000,100000,0,72859100,6200,81200,72946600,1370865.811429,2749.197,1700,7100,0,1171800,39657.554,48000,67200,true
