scenario,callback,workers,producers,capacity,task_count,control_median_tasks_per_sec,candidate_median_tasks_per_sec,throughput_delta_percent,candidate_control_ratio,control_throughput_min,control_throughput_max,control_throughput_stddev,control_throughput_cv,candidate_throughput_min,candidate_throughput_max,candidate_throughput_stddev,candidate_throughput_cv,control_median_total_ns,candidate_median_total_ns,duration_delta_percent,control_median_submit_latency_ns,candidate_median_submit_latency_ns,control_p95_submit_latency_ns,candidate_p95_submit_latency_ns,control_enqueue_wait_rate,candidate_enqueue_wait_rate,control_dequeue_wait_rate,candidate_dequeue_wait_rate,control_not_empty_signals,candidate_not_empty_signals,control_not_full_signals,candidate_not_full_signals,control_signals_per_task,candidate_signals_per_task,total_signal_reduction_percent,candidate_avoided_not_empty_signals,candidate_avoided_not_full_signals,control_predicate_false_wakeups,candidate_predicate_false_wakeups,control_worker_task_cv,candidate_worker_task_cv,control_zero_task_workers,candidate_zero_task_workers,control_correctness_pass_rate,candidate_correctness_pass_rate,decision
light_w1_p4_c64,light_cpu,1,4,64,100000,1231809.2568,1290087.867885,4.731139237936599,1.047311392379366,1131799.14187,1317988.433334,57980.89878200888,0.04662530747193658,1221535.176548,1368301.650309,50472.833959415024,0.03900646210701822,81181400.0,77514100.0,-4.51741408746339,3132.859,3043.353,3400.0,3100.0,0.99087,0.99715,2.999970000299997e-05,1.999980000199998e-05,100000.0,17.0,100000.0,99895.0,2.0,0.99912,50.044,99983.0,105.0,774.0,436.0,0.0,0.0,0.0,0.0,1.0,1.0,OPTIMIZATION REJECTED
light_w2_p4_c64,light_cpu,2,4,64,100000,1274109.33387,1261210.585593,-1.0123737370184016,0.989876262629816,1165412.876647,1432480.052715,76308.26904822949,0.059869464793105454,1169960.10436,1356596.245756,53304.05489170867,0.04233223835841068,78486200.0,79288900.0,1.0227275622975762,3020.02,3053.707,7300.0,7000.0,0.80325,0.76981,0.0003499930001399972,8.999820003599928e-05,100000.0,468.0,100000.0,97761.0,2.0,0.98229,50.88550000000001,99532.0,2239.0,16676.0,15078.0,0.01698,0.01926,0.0,0.0,1.0,1.0,OPTIMIZATION REJECTED
light_w4_p4_c64,light_cpu,4,4,64,100000,1448441.983381,1452145.981331,0.25572290726854074,1.0025572290726854,1196668.952304,1530390.494439,110179.84146702582,0.07711027691542192,1375778.862809,1700697.626166,106390.33748752445,0.07142281331310207,69039700.0,68863600.0,-0.25507063327332435,2566.735,2550.055,6900.0,7100.0,0.18569,0.18219,0.02796888124475021,0.018159273629054836,100000.0,4316.0,100000.0,47801.0,2.0,0.52117,73.94149999999999,95684.0,52199.0,3124.0,2298.0,0.048767752,0.04611189,0.0,0.0,1.0,1.0,OPTIMIZATION REJECTED
light_w8_p4_c64,light_cpu,8,4,64,100000,1235034.469812,1199990.400077,-2.837497300001224,0.9716250269999878,990212.737304,1416677.409804,119564.24803973002,0.09723244268246965,1176109.45345,1383152.647492,79537.00506344679,0.06370020543185367,80969400.0,83334000.0,2.9203625073175754,2790.372,3011.056,6400.0,6100.0,0.0393,0.03475,0.3244140468762499,0.2693184545236381,100000.0,87352.0,100000.0,19034.0,2.0,1.06386,46.807,12648.0,80966.0,7442.0,6533.0,0.235633485,0.230863101,0.0,0.0,1.0,1.0,OPTIMIZATION REJECTED
medium_w4_p4_c64,medium_cpu,4,4,64,100000,299459.296295,282114.504635,-5.792036471932893,0.9420796352806711,259986.13234,303278.715869,14911.149960070848,0.051293903755185145,263471.77282,296666.096079,11746.454496151358,0.04147240373388055,333935200.0,354466000.0,6.148138920365387,13264.812,13908.351,51700.0,52300.0,0.96456,0.93891,3.999840006399744e-05,9.99960001599936e-05,100000.0,175.0,100000.0,99926.0,2.0,1.00101,49.9495,99825.0,74.0,32792.0,32290.0,0.008769629,0.012023111,0.0,0.0,1.0,1.0,OPTIMIZATION REJECTED
noop_w1_p4_c64,noop,1,4,64,100000,1449386.692021,1450399.947786,0.0699092775294563,1.0006990927752946,1331150.246928,1485030.153537,50100.98277263561,0.03504787920615679,1298957.716328,1487446.693629,67197.29236055615,0.04723031164995084,68994700.0,68946500.0,-0.06986043855542468,2677.291,2684.72,6400.0,6600.0,0.90665,0.87666,2.999970000299997e-05,1.999980000199998e-05,100000.0,64.0,100000.0,99333.0,2.0,0.99397,50.3015,99936.0,667.0,21067.0,23635.0,0.0,0.0,0.0,0.0,1.0,1.0,OPTIMIZATION REJECTED
noop_w2_p4_c64,noop,2,4,64,100000,1426702.448364,1476053.976342,3.459132493575745,1.0345913249357575,1310169.535938,1488048.736572,61009.136937653246,0.04328097132650336,606240.273633,1566052.982705,308004.1272393848,0.22965191091395212,70091700.0,67748200.0,-3.343477187741206,2724.924,2646.062,7500.0,6800.0,0.4947,0.59063,0.00996980060398792,0.00748985020299594,100000.0,1846.0,100000.0,88416.0,2.0,0.90262,54.869,98154.0,11584.0,9017.0,11904.0,0.0663,0.05298,0.0,0.0,1.0,1.0,OPTIMIZATION REJECTED
noop_w4_p1_c64,noop,4,1,64,100000,1315663.100781,1314309.14654,-0.10291040618195524,0.9989708959381804,1286120.699855,1375797.790744,28485.558806470297,0.021562389130689648,1195387.239719,1395149.622821,58727.43075003544,0.04457128363391563,76007300.0,76085600.0,0.10301642079115769,730.164,730.371,1400.0,1400.0,6e-05,4e-05,0.8459961601535938,0.8382964681412743,100000.0,99278.0,100000.0,113.0,2.0,0.99391,50.3045,722.0,99887.0,17496.0,18504.0,0.052224102,0.061400573,0.0,0.0,1.0,1.0,OPTIMIZATION REJECTED
noop_w4_p2_c64,noop,4,2,64,100000,1391565.72017,1327036.104671,-4.637194964181557,0.9536280503581844,1322092.025538,1430230.495947,40166.14355772508,0.029057842075935814,1162362.245544,1384161.592561,75757.28376609962,0.05781608105660518,71861500.0,75355900.0,4.862687252562226,1346.115,1463.093,3700.0,3700.0,0.00104,0.00031,0.4546218151273949,0.5274889004439822,100000.0,87297.0,100000.0,217.0,2.0,0.87514,56.242999999999995,12703.0,99783.0,8465.0,10395.0,0.046047445,0.06893391,0.0,0.0,1.0,1.0,OPTIMIZATION REJECTED
noop_w4_p4_c1,noop,4,4,1,100000,454817.931834,587110.459549,29.086919942128464,1.2908691994212846,347706.475929,656949.075935,103400.37638029859,0.2091140255766651,460124.463667,899020.247734,133082.44254321925,0.2166238150037484,219868200.0,170325700.0,-22.53281738787146,8320.963,6653.924,44500.0,42300.0,0.51344,0.53868,0.5267089316427342,0.5103595856165754,100000.0,100000.0,100000.0,100000.0,2.0,2.0,0.0,0.0,0.0,16239.0,17453.0,0.039105345,0.025636958,0.0,0.0,1.0,1.0,OPTIMIZATION REJECTED
