scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,78746600,100,133300,3100,3300
throughput,1,1,25000,25000,0,78830200,100,112700,3100,3300
throughput,1,2,25000,25000,0,78836800,100,122500,3100,3300
throughput,1,3,25000,25000,0,78500000,100,94000,3100,3300
throughput,2,0,25000,25000,0,75059900,100,490700,2900,3100
throughput,2,1,25000,25000,0,76612300,100,665000,2900,3100
throughput,2,2,25000,25000,0,76608700,100,484400,2900,3100
throughput,2,3,25000,25000,0,76054400,100,393100,2900,3100
throughput,3,0,25000,25000,0,72937200,100,158400,2900,3100
throughput,3,1,25000,25000,0,72813800,100,158600,2900,3100
throughput,3,2,25000,25000,0,72920300,100,169900,2900,3100
throughput,3,3,25000,25000,0,72878400,100,168300,2900,3100
throughput,4,0,25000,25000,0,80411500,100,448800,3100,3400
throughput,4,1,25000,25000,0,80189300,100,345100,3100,3400
throughput,4,2,25000,25000,0,79352500,100,224200,3100,3400
throughput,4,3,25000,25000,0,81035900,100,813900,3100,3400
throughput,5,0,25000,25000,0,78403700,100,274500,3100,3300
throughput,5,1,25000,25000,0,78789000,100,485500,3100,3300
throughput,5,2,25000,25000,0,78596000,100,162400,3100,3300
throughput,5,3,25000,25000,0,78531900,100,77700,3100,3300
throughput,6,0,25000,25000,0,71926300,100,104400,2800,3000
throughput,6,1,25000,25000,0,72164800,100,144900,2800,3000
throughput,6,2,25000,25000,0,72074900,100,132100,2800,3000
throughput,6,3,25000,25000,0,71597900,100,89700,2800,3000
throughput,7,0,25000,25000,0,75359900,100,159500,2900,3100
throughput,7,1,25000,25000,0,75156200,100,127100,2900,3100
throughput,7,2,25000,25000,0,74245100,0,94200,2900,3100
throughput,7,3,25000,25000,0,75160300,100,168300,2900,3100
