scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,50995,50995,10,685100,35428800,16376300,5710800,22087100,0.509950000
throughput,1,1,49005,49005,9,1028100,35471500,16610400,5292800,21903200,0.490050000
throughput,2,0,50961,50961,4,1145500,36117400,16695500,5489200,22184700,0.509610000
throughput,2,1,49039,49039,4,266900,37552600,16210600,5406200,21616800,0.490390000
throughput,3,0,50963,50963,3,317100,35403500,15773300,5537900,21311200,0.509630000
throughput,3,1,49037,49037,5,658300,35784600,15907900,5296400,21204300,0.490370000
throughput,4,0,49454,49454,4,355100,30457700,16169100,5822400,21991500,0.494540000
throughput,4,1,50546,50546,9,333200,29894600,16223200,5977800,22201000,0.505460000
throughput,5,0,52199,52199,2,264400,30567800,16195800,4871600,21067400,0.521990000
throughput,5,1,47801,47801,2,228800,30357100,15745100,4532900,20278000,0.478010000
throughput,6,0,49137,49137,37,1215200,32103700,16921500,5813200,22734700,0.491370000
throughput,6,1,50863,50863,43,701600,31522900,17618200,6361200,23979400,0.508630000
throughput,7,0,51523,51523,5,489000,36103300,16417100,6978300,23395400,0.515230000
throughput,7,1,48477,48477,4,652700,36379300,15714900,7061200,22776100,0.484770000
