scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,334908600,100,453200,4700,52900
throughput,1,1,25000,25000,0,332693600,0,613000,4500,52800
throughput,1,2,25000,25000,0,337385500,0,1023400,4600,53300
throughput,1,3,25000,25000,0,336438200,100,510700,4600,53400
throughput,2,0,25000,25000,0,361481400,100,503700,4800,55500
throughput,2,1,25000,25000,0,361655900,100,853100,4800,54800
throughput,2,2,25000,25000,0,363372100,100,859100,4700,55500
throughput,2,3,25000,25000,0,358867400,100,459200,4800,55500
throughput,3,0,25000,25000,0,348834900,100,794700,4500,52100
throughput,3,1,25000,25000,0,360211500,0,1515200,4400,52800
throughput,3,2,25000,25000,0,358119600,100,2559900,4400,52600
throughput,3,3,25000,25000,0,347407600,100,801500,4500,52000
throughput,4,0,25000,25000,0,335737300,100,482400,4700,52600
throughput,4,1,25000,25000,0,334045100,100,603000,4600,52400
throughput,4,2,25000,25000,0,338435600,100,477600,4500,53100
throughput,4,3,25000,25000,0,338104500,100,497200,4500,53400
throughput,5,0,25000,25000,0,335736500,100,636600,4800,52100
throughput,5,1,25000,25000,0,332712100,100,606400,4700,51400
throughput,5,2,25000,25000,0,335376400,100,598200,4600,52500
throughput,5,3,25000,25000,0,333885300,100,644800,4700,52200
throughput,6,0,25000,25000,0,369893100,100,32683000,4300,51800
throughput,6,1,25000,25000,0,378199400,100,30068900,4200,51300
throughput,6,2,25000,25000,0,377944200,100,35737800,4000,52200
throughput,6,3,25000,25000,0,342458600,0,1717400,3000,51700
throughput,7,0,25000,25000,0,339526600,100,585800,5000,49900
throughput,7,1,25000,25000,0,350707400,100,1885100,5000,48800
throughput,7,2,25000,25000,0,353123500,100,2060500,4900,50400
throughput,7,3,25000,25000,0,347477600,100,789600,5100,50900
