scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,25122,25122,3,363100,16774300,269090700,4282900,273373600,0.251220000
throughput,1,1,24947,24947,2,371700,16700800,268145500,4194300,272339800,0.249470000
throughput,1,2,24847,24847,3,644800,17686200,267869300,4183500,272052800,0.248470000
throughput,1,3,25084,25084,2,412700,17157200,268516600,4161500,272678100,0.250840000
throughput,2,0,24682,24682,1,342700,28592100,278602000,4550000,283152000,0.246820000
throughput,2,1,25642,25642,1,437000,31092400,277996900,4532600,282529500,0.256420000
throughput,2,2,24371,24371,1,287800,27817400,275209900,4781200,279991100,0.243710000
throughput,2,3,25305,25305,1,316400,28177400,278324700,4864200,283188900,0.253050000
throughput,3,0,24643,24643,7,1055600,25989100,277814200,5444800,283259000,0.246430000
throughput,3,1,24875,24875,6,1156400,27792800,277169600,5423800,282593400,0.248750000
throughput,3,2,25015,25015,6,935900,27882000,279567200,5207800,284775000,0.250150000
throughput,3,3,25467,25467,7,1049600,27417100,279323800,5526800,284850600,0.254670000
throughput,4,0,24960,24960,1,465600,18462800,267755800,4615500,272371300,0.249600000
throughput,4,1,24726,24726,1,517700,19744100,266876400,4531600,271408000,0.247260000
throughput,4,2,25193,25193,1,678900,20098800,267446500,4266400,271712900,0.251930000
throughput,4,3,25121,25121,1,599500,19829500,267561800,4456100,272017900,0.251210000
throughput,5,0,25094,25094,1,435100,18255900,265105700,4375500,269481200,0.250940000
throughput,5,1,24881,24881,1,404700,18325500,264695100,4202000,268897100,0.248810000
throughput,5,2,24858,24858,1,356400,19188300,263627400,4411300,268038700,0.248580000
throughput,5,3,25167,25167,1,289500,17477500,266054400,4381600,270436000,0.251670000
throughput,6,0,24669,24669,52,31467500,22235100,269034800,4508400,273543200,0.246690000
throughput,6,1,24205,24205,24,36343800,25048400,266028700,4413500,270442200,0.242050000
throughput,6,2,24187,24187,19,37102400,32087600,260440600,4071400,264512000,0.241870000
throughput,6,3,26939,26939,63,7295600,21371100,295314500,4624400,299938900,0.269390000
throughput,7,0,23698,23698,2,570400,27221600,267937500,4466500,272404000,0.236980000
throughput,7,1,25604,25604,4,1397900,26612000,273229900,4583400,277813300,0.256040000
throughput,7,2,24984,24984,3,2588700,23931100,274178100,5118500,279296600,0.249840000
throughput,7,3,25714,25714,5,1201800,26362200,273752300,4846700,278599000,0.257140000
