scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,22038,22038,14761,31708400,27938400,774400,2857900,3632300,0.220380000
throughput,1,1,26334,26334,16610,30522900,26547900,908400,3093800,4002200,0.263340000
throughput,1,2,25314,25314,15753,30154300,27581600,839700,2865400,3705100,0.253140000
throughput,1,3,26314,26314,16619,30790300,26677800,869800,3150000,4019800,0.263140000
throughput,2,0,22839,22839,10644,25497000,34291100,814400,2838500,3652900,0.228390000
throughput,2,1,25405,25405,12753,27424300,31570900,839400,2917700,3757100,0.254050000
throughput,2,2,25500,25500,12809,27302400,30985600,848200,3046100,3894300,0.255000000
throughput,2,3,26256,26256,13331,28084000,30231900,821700,2939700,3761400,0.262560000
throughput,3,0,23967,23967,9837,22406700,37449200,785700,2727600,3513300,0.239670000
throughput,3,1,26276,26276,10899,22243700,36147200,843600,2958300,3801900,0.262760000
throughput,3,2,27018,27018,11311,23171700,34552100,939800,3014200,3954000,0.270180000
throughput,3,3,22739,22739,9866,23827000,36312800,777000,2600900,3377900,0.227390000
throughput,4,0,25604,25604,19724,42919000,28503100,861500,3343500,4205000,0.256040000
throughput,4,1,25875,25875,20538,43808500,27699600,936300,3044900,3981200,0.258750000
throughput,4,2,22025,22025,18634,44676200,28491200,785300,3068500,3853800,0.220250000
throughput,4,3,26496,26496,19989,43245900,28233600,874300,2982700,3857000,0.264960000
throughput,5,0,24625,24625,13233,30820600,33547700,864900,3275800,4140700,0.246250000
throughput,5,1,24533,24533,12759,30151400,33455100,893200,3300900,4194100,0.245330000
throughput,5,2,25025,25025,13102,31100200,32575100,967100,3403500,4370600,0.250250000
throughput,5,3,25817,25817,13657,30790500,32762200,877700,3438400,4316100,0.258170000
throughput,6,0,23930,23930,12563,30647900,32036100,826500,2874700,3701200,0.239300000
throughput,6,1,25792,25792,13079,26964700,34467100,983100,2935200,3918300,0.257920000
throughput,6,2,25079,25079,12758,28261800,33639400,916500,2898500,3815000,0.250790000
throughput,6,3,25199,25199,12664,28259100,32891900,1035300,3073200,4108500,0.251990000
throughput,7,0,21074,21074,12939,31251700,32825200,713200,2401600,3114800,0.210740000
throughput,7,1,27316,27316,14785,30260200,30981800,875700,2796600,3672300,0.273160000
throughput,7,2,27739,27739,14694,28802700,32057500,879000,2931800,3810800,0.277390000
throughput,7,3,23871,23871,13490,29898400,33082800,753000,2575000,3328000,0.238710000
