scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,77299200,100,3631300,1800,7800
throughput,1,1,25000,25000,0,84982900,100,7935000,1100,5500
throughput,1,2,25000,25000,0,69268000,100,3403000,1700,6600
throughput,1,3,25000,25000,0,71683300,100,5792900,1700,7300
throughput,2,0,25000,25000,0,63904400,100,1761400,1500,6400
throughput,2,1,25000,25000,0,73192100,100,4211100,1600,6900
throughput,2,2,25000,25000,0,68182300,100,3181500,1500,6800
throughput,2,3,25000,25000,0,80125900,100,13866200,1100,5900
throughput,3,0,25000,25000,0,82275700,100,9519700,1800,7700
throughput,3,1,25000,25000,0,71459800,100,2332600,1800,7100
throughput,3,2,25000,25000,0,82213300,100,5493800,1700,6800
throughput,3,3,25000,25000,0,82343100,100,3932600,1800,7500
throughput,4,0,25000,25000,0,70266100,100,4677300,1700,6800
throughput,4,1,25000,25000,0,75652600,100,1701100,1800,7900
throughput,4,2,25000,25000,0,74252900,100,2209500,1600,7400
throughput,4,3,25000,25000,0,62220700,100,1862600,1500,6800
throughput,5,0,25000,25000,0,85830200,100,15984200,1100,5500
throughput,5,1,25000,25000,0,75120000,100,4393600,1600,6700
throughput,5,2,25000,25000,0,66065800,100,1945600,1600,6700
throughput,5,3,25000,25000,0,73562200,100,2032000,1600,6200
throughput,6,0,25000,25000,0,75343200,100,8673300,1500,7000
throughput,6,1,25000,25000,0,82948000,100,2179700,1800,7800
throughput,6,2,25000,25000,0,79809600,100,2993300,1700,7700
throughput,6,3,25000,25000,0,83278300,100,4487800,1700,7000
throughput,7,0,25000,25000,0,72801300,0,3445000,1600,6300
throughput,7,1,25000,25000,0,85836300,100,9754700,1500,6700
throughput,7,2,25000,25000,0,65357800,0,1959700,1600,6700
throughput,7,3,25000,25000,0,71396300,100,2134800,1700,6800
