scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,78075400,100,289000,3100,3300
throughput,1,1,25000,25000,0,78136900,100,395100,3100,3300
throughput,1,2,25000,25000,0,78741800,0,495800,3100,3300
throughput,1,3,25000,25000,0,78331800,100,423400,3100,3300
throughput,2,0,25000,25000,0,75288200,100,317300,2900,3100
throughput,2,1,25000,25000,0,75262200,100,257400,2900,3100
throughput,2,2,25000,25000,0,75077000,100,291600,2900,3100
throughput,2,3,25000,25000,0,75264700,100,240700,2900,3100
throughput,3,0,25000,25000,0,80240300,100,1509500,3000,3500
throughput,3,1,25000,25000,0,80107500,0,2002300,3000,3500
throughput,3,2,25000,25000,0,76735100,100,479800,3000,3500
throughput,3,3,25000,25000,0,75946300,100,322300,3000,3500
throughput,4,0,25000,25000,0,87354300,100,1612300,2900,3500
throughput,4,1,25000,25000,0,83544400,100,419500,2900,3500
throughput,4,2,25000,25000,0,84119700,100,421700,2900,3500
throughput,4,3,25000,25000,0,86712600,100,497400,2900,3500
throughput,5,0,25000,25000,0,79054300,100,1088600,2800,3400
throughput,5,1,25000,25000,0,78728500,100,1093300,2900,3400
throughput,5,2,25000,25000,0,80550900,100,1156700,2800,3400
throughput,5,3,25000,25000,0,80475400,100,1230900,2800,3400
throughput,6,0,25000,25000,0,77178200,100,311600,3000,3500
throughput,6,1,25000,25000,0,80379600,100,826100,3000,3600
throughput,6,2,25000,25000,0,80382200,100,1303200,3000,3500
throughput,6,3,25000,25000,0,77153500,100,456300,3000,3500
throughput,7,0,25000,25000,0,74621300,100,224400,2800,3200
throughput,7,1,25000,25000,0,74801900,100,305800,2800,3200
throughput,7,2,25000,25000,0,74773100,100,524100,2800,3200
throughput,7,3,25000,25000,0,74957600,100,574500,2800,3200
