scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,13548,13548,1655,8108700,37318100,24348700,1815300,26164000,0.135480000
throughput,1,1,28352,28352,1455,3935700,53246600,9528100,4157600,13685700,0.283520000
throughput,1,2,27839,27839,1338,5292700,49784900,10275800,4267100,14542900,0.278390000
throughput,1,3,30261,30261,1627,3570100,52594000,10050100,4004900,14055000,0.302610000
throughput,2,0,26652,26652,544,1777600,47375200,8957400,3459900,12417300,0.266520000
throughput,2,1,23451,23451,544,1729800,50235000,7375800,3534500,10910300,0.234510000
throughput,2,2,24407,24407,574,1321800,47622900,7965600,3431500,11397100,0.244070000
throughput,2,3,25490,25490,557,1383400,48428900,7998100,3226200,11224300,0.254900000
throughput,3,0,22425,22425,581,1606100,36369200,15169400,3406700,18576100,0.224250000
throughput,3,1,23888,23888,536,2902000,41684500,7488500,3571200,11059700,0.238880000
throughput,3,2,27155,27155,487,2510700,39266100,8651700,3872300,12524000,0.271550000
throughput,3,3,26532,26532,511,2250200,39647500,8727000,4040400,12767400,0.265320000
throughput,4,0,26765,26765,1531,4944800,39671700,8643200,4848600,13491800,0.267650000
throughput,4,1,23622,23622,1632,6578000,37444000,9748700,3786800,13535500,0.236220000
throughput,4,2,24152,24152,1481,6025600,40629700,8083000,3637200,11720200,0.241520000
throughput,4,3,25461,25461,1527,5228100,40500000,8202100,4151700,12353800,0.254610000
throughput,5,0,25777,25777,864,2049300,40033600,8585400,3678100,12263500,0.257770000
throughput,5,1,23150,23150,776,1855000,41756400,7807800,3365000,11172800,0.231500000
throughput,5,2,24759,24759,920,2233900,40213400,8105100,3343900,11449000,0.247590000
throughput,5,3,26314,26314,769,1840800,40697900,8295400,3425800,11721200,0.263140000
throughput,6,0,26929,26929,673,2018400,46284000,8414400,3489900,11904300,0.269290000
throughput,6,1,23247,23247,708,2223400,47582700,8051700,3565000,11616700,0.232470000
throughput,6,2,23644,23644,696,2976200,47721800,7437200,3091700,10528900,0.236440000
throughput,6,3,26180,26180,720,2624300,45538500,8138000,4027900,12165900,0.261800000
throughput,7,0,25769,25769,621,1793500,40125400,7986900,4263000,12249900,0.257690000
throughput,7,1,25190,25190,652,2662200,39441700,8038100,4460100,12498200,0.251900000
throughput,7,2,23765,23765,622,4557700,38059100,7932000,4347300,12279300,0.237650000
throughput,7,3,25276,25276,707,2579000,38403000,8125200,4300700,12425900,0.252760000
