scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,325617500,100,298400,4600,51300
throughput,1,1,25000,25000,0,327876300,100,398900,4600,51500
throughput,1,2,25000,25000,0,330852000,100,237700,4500,52200
throughput,1,3,25000,25000,0,330356300,100,323900,4500,51800
throughput,2,0,25000,25000,0,339608600,100,429400,4400,53200
throughput,2,1,25000,25000,0,337337100,100,604900,4400,52800
throughput,2,2,25000,25000,0,340529200,100,632800,4400,53400
throughput,2,3,25000,25000,0,337334500,100,432300,4400,52900
throughput,3,0,25000,25000,0,328377800,100,341400,4800,51500
throughput,3,1,25000,25000,0,328262800,100,213500,4700,51400
throughput,3,2,25000,25000,0,329619500,100,399000,4700,51800
throughput,3,3,25000,25000,0,331028900,0,343300,4600,51900
throughput,4,0,25000,25000,0,355273200,100,26555500,4300,51900
throughput,4,1,25000,25000,0,381859000,100,36897200,4100,52900
throughput,4,2,25000,25000,0,383257500,100,21084800,4000,53100
throughput,4,3,25000,25000,0,372637000,100,9261900,3900,52800
throughput,5,0,25000,25000,0,348058500,100,4019900,5700,45100
throughput,5,1,25000,25000,0,358561800,100,1560600,5800,46400
throughput,5,2,25000,25000,0,356075400,100,1280900,5600,46600
throughput,5,3,25000,25000,0,345599600,100,3711400,5700,45600
throughput,6,0,25000,25000,0,329622100,100,281400,4600,52200
throughput,6,1,25000,25000,0,332618900,100,763200,4700,52300
throughput,6,2,25000,25000,0,332475800,100,1104300,4600,52100
throughput,6,3,25000,25000,0,331764400,100,314500,4600,52400
throughput,7,0,25000,25000,0,327601300,100,509600,4600,51500
throughput,7,1,25000,25000,0,327077900,100,536800,4600,51500
throughput,7,2,25000,25000,0,327511300,100,236400,4600,51900
throughput,7,3,25000,25000,0,328417600,100,399800,4600,51600
