scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,25032,25032,1,434200,16979500,262335500,4031700,266367200,0.250320000
throughput,1,1,24945,24945,1,397200,17338600,262375900,4088300,266464200,0.249450000
throughput,1,2,25049,25049,1,394100,17854800,261892000,4257400,266149400,0.250490000
throughput,1,3,24974,24974,1,335300,15652500,262732100,4322800,267054900,0.249740000
throughput,2,0,25093,25093,1,360500,19171400,269885300,4232000,274117300,0.250930000
throughput,2,1,24916,24916,1,366100,21122900,266799900,4579000,271378900,0.249160000
throughput,2,2,24678,24678,1,313400,18862600,268281400,4360500,272641900,0.246780000
throughput,2,3,25313,25313,1,211100,21560200,267689800,4642700,272332500,0.253130000
throughput,3,0,24805,24805,1,338800,15640200,263757300,4188300,267945600,0.248050000
throughput,3,1,25120,25120,1,351800,15968800,263850800,4197400,268048200,0.251200000
throughput,3,2,25108,25108,1,436800,17319400,262702000,4193100,266895100,0.251080000
throughput,3,3,24967,24967,1,455600,16743500,262099900,4125800,266225700,0.249670000
throughput,4,0,26326,26326,51,24906600,21801400,285124600,4727400,289852000,0.263260000
throughput,4,1,24420,24420,20,43748900,20526400,265844600,4434000,270278600,0.244200000
throughput,4,2,23042,23042,12,784800,23370200,261345700,4837000,266182700,0.230420000
throughput,4,3,26212,26212,36,24738400,23147600,282926900,4765100,287692000,0.262120000
throughput,5,0,24269,24269,3,450100,30036800,271973100,4943800,276916900,0.242690000
throughput,5,1,24987,24987,3,497600,33256700,271140200,4788600,275928800,0.249870000
throughput,5,2,25304,25304,3,525300,30260700,274881000,4605300,279486300,0.253040000
throughput,5,3,25440,25440,2,401800,31190300,273856400,5213100,279069500,0.254400000
throughput,6,0,24836,24836,1,393300,17954800,262210600,4172800,266383400,0.248360000
throughput,6,1,24811,24811,1,325600,17702900,262244300,4322000,266566300,0.248110000
throughput,6,2,24993,24993,1,353300,18890400,261118600,4419300,265537900,0.249930000
throughput,6,3,25360,25360,1,434200,18166400,263037000,4085400,267122400,0.253600000
throughput,7,0,25050,25050,1,356000,16329000,260852300,4147000,264999300,0.250500000
throughput,7,1,25052,25052,1,400300,16442100,260769800,4033100,264802900,0.250520000
throughput,7,2,24830,24830,1,316200,15563600,261034500,4194000,265228500,0.248300000
throughput,7,3,25068,25068,1,269200,15883300,261523200,4205100,265728300,0.250680000
