scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,50000,50000,0,65426600,100,124000,900,3500
throughput,1,1,50000,50000,0,68546600,0,232200,900,3800
throughput,2,0,50000,50000,0,70204300,0,156600,1000,3800
throughput,2,1,50000,50000,0,68419500,100,149900,900,3600
throughput,3,0,50000,50000,0,63517200,0,60700,900,3400
throughput,3,1,50000,50000,0,70510000,0,166400,900,4000
throughput,4,0,50000,50000,0,71453000,100,110000,1000,3800
throughput,4,1,50000,50000,0,73855200,100,117600,1000,4100
throughput,5,0,50000,50000,0,66954800,0,104200,1000,3500
throughput,5,1,50000,50000,0,73855800,0,328600,1000,4000
throughput,6,0,50000,50000,0,70123400,100,511100,900,3900
throughput,6,1,50000,50000,0,64488100,100,386400,900,3400
throughput,7,0,50000,50000,0,63431300,0,190000,900,3300
throughput,7,1,50000,50000,0,68307000,100,189800,900,3800
