scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,10869,10869,4556,36009900,33581200,337100,1586900,1924000,0.108690000
throughput,1,1,11232,11232,5271,31807900,29969600,327900,1248000,1575900,0.112320000
throughput,1,2,16899,16899,6199,34903500,35468100,487600,1826600,2314200,0.168990000
throughput,1,3,10836,10836,4769,47781500,21716600,338900,1612200,1951100,0.108360000
throughput,1,4,9646,9646,4657,36959900,37066200,287000,1134800,1421800,0.096460000
throughput,1,5,10568,10568,4009,24643200,40930200,329800,2331100,2660900,0.105680000
throughput,1,6,17555,17555,8131,32490300,36840100,519800,2665600,3185400,0.175550000
throughput,1,7,12395,12395,5343,29048600,39046200,401000,1461000,1862000,0.123950000
throughput,2,0,13693,13693,5627,33099100,31408600,661100,1807100,2468200,0.136930000
throughput,2,1,13586,13586,6151,30424000,23296500,407900,2154700,2562600,0.135860000
throughput,2,2,12302,12302,5633,30385000,22990600,422400,14397000,14819400,0.123020000
throughput,2,3,14566,14566,6143,31349200,28063600,731100,6507500,7238600,0.145660000
throughput,2,4,12932,12932,6381,26742700,23101600,414300,17464600,17878900,0.129320000
throughput,2,5,13490,13490,5668,37082700,22108200,396100,8058400,8454500,0.134900000
throughput,2,6,6689,6689,3467,50754300,13084700,201700,3407700,3609400,0.066890000
throughput,2,7,12742,12742,5703,27911100,21486300,426000,17942700,18368700,0.127420000
throughput,3,0,15864,15864,6553,43722900,35576100,487000,4246500,4733500,0.158640000
throughput,3,1,17077,17077,7427,45017700,35544700,507600,2398200,2905800,0.170770000
throughput,3,2,11493,11493,4817,47262200,27844400,335900,6574000,6909900,0.114930000
throughput,3,3,11875,11875,5259,42309600,36765600,368900,6051900,6420800,0.118750000
throughput,3,4,6385,6385,3864,47585800,38457000,206200,1468400,1674600,0.063850000
throughput,3,5,12194,12194,5727,36447000,37143700,380200,11496900,11877100,0.121940000
throughput,3,6,14271,14271,5910,44325300,38187300,413100,1748400,2161500,0.142710000
throughput,3,7,10841,10841,5525,58590700,22611200,350200,4288100,4638300,0.108410000
throughput,4,0,13949,13949,6971,42882200,29604700,427500,1978400,2405900,0.139490000
throughput,4,1,16596,16596,7924,38626200,31267100,479900,4087200,4567100,0.165960000
throughput,4,2,8559,8559,4962,24713700,18791600,252100,1215000,1467100,0.085590000
throughput,4,3,12408,12408,6434,42467100,26450500,347800,2072400,2420200,0.124080000
throughput,4,4,17253,17253,7974,38322000,31939300,517400,2937600,3455000,0.172530000
throughput,4,5,12110,12110,7163,44887700,25380500,335200,2102900,2438100,0.121100000
throughput,4,6,9319,9319,5213,55365700,18804600,310000,1839000,2149000,0.093190000
throughput,4,7,9806,9806,5312,31554600,23384700,305700,1778600,2084300,0.098060000
throughput,5,0,13254,13254,7562,42542400,25399700,447400,2124000,2571400,0.132540000
throughput,5,1,13912,13912,7696,41332400,24945400,457400,1700900,2158300,0.139120000
throughput,5,2,12363,12363,5382,33334600,32948900,395600,2006100,2401700,0.123630000
throughput,5,3,6825,6825,4359,58843400,11267000,215600,2047600,2263200,0.068250000
throughput,5,4,11836,11836,6833,38953200,29868600,408200,1540900,1949100,0.118360000
throughput,5,5,15886,15886,7975,33340800,29955800,512500,3886500,4399000,0.158860000
throughput,5,6,11115,11115,6972,36568700,18572900,339400,1811400,2150800,0.111150000
throughput,5,7,14809,14809,8032,31835200,24446400,463600,5566100,6029700,0.148090000
throughput,6,0,9276,9276,5386,50654500,21574300,276700,4712100,4988800,0.092760000
throughput,6,1,13374,13374,6661,48264500,24763100,402600,3654300,4056900,0.133740000
throughput,6,2,12400,12400,5108,47244500,25796300,371900,2651500,3023400,0.124000000
throughput,6,3,11500,11500,6141,46040400,28840000,363900,1527200,1891100,0.115000000
throughput,6,4,12784,12784,6345,52085100,22386000,451000,2201500,2652500,0.127840000
throughput,6,5,14547,14547,7046,44511200,27906700,467300,3014800,3482100,0.145470000
throughput,6,6,12852,12852,6451,49020700,22789900,404000,4043700,4447700,0.128520000
throughput,6,7,13267,13267,5954,47876200,24389400,407300,3678200,4085500,0.132670000
throughput,7,0,12923,12923,5066,42188400,30574200,382300,2656800,3039100,0.129230000
throughput,7,1,13169,13169,6393,34005600,29974000,420600,11909300,12329900,0.131690000
throughput,7,2,11820,11820,4692,48095800,26892800,405100,1510100,1915200,0.118200000
throughput,7,3,15190,15190,7381,36878500,34880300,489500,3071700,3561200,0.151900000
throughput,7,4,14606,14606,7060,36141900,28101300,440500,10481800,10922300,0.146060000
throughput,7,5,8006,8006,4882,53878400,14198900,247100,10182600,10429700,0.080060000
throughput,7,6,15719,15719,7661,37998000,34817900,494200,2002400,2496600,0.157190000
throughput,7,7,8567,8567,4629,49798700,18028800,265300,9838300,10103600,0.085670000
