configuration,profile,accounting_mode,workers,producers,capacity,tasks,iterations,median_throughput_tasks_per_second,median_total_duration_ns,enqueue_wait_rate,median_enqueue_wait_ns,dequeue_wait_rate,median_dequeue_wait_ns,producer_lock_duration_share,worker_lock_duration_share,callback_compute_worker_time_share,callback_accounting_worker_time_share,queue_full_observation_rate,queue_empty_observation_rate,occupancy_event_mean,worker_distribution_cv,zero_task_workers,enqueue_predicate_false_wakeups,dequeue_predicate_false_wakeups,profiling_overhead_percent,correctness,notes
accounting_light_partitioned,light_cpu,partitioned,4,4,64,100000,5,1026324.189127,97435100.0,0.16218,4303.163152053274,0.044748210071597135,6725.442612942613,2.5492219949484323,2.5652500998100276,0.4945414948001285,0.13008453832345837,0.16218,0.044748210071597135,47.77621,0.07059026,0.0,2138.0,734.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
accounting_noop_partitioned,noop,partitioned,4,4,64,100000,5,1017904.948036,98241000.0,0.05062,5060.335652885796,0.06423743050277989,5038.751905316955,2.469215500656549,2.444366405065095,0.04513695911075824,0.09835302979407783,0.05062,0.06423743050277989,31.53362,0.069227838,0.0,798.0,1055.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
callback_medium,medium_cpu,standard,4,4,64,100000,5,176847.950553,565457500.0,0.78939,25256.063512361467,0.0005199792008319667,207840.32258064515,0.11699535332009921,0.410891888426628,3.033705450895956,0.053348837003665175,0.78939,0.0005199792008319667,61.94061,0.032954672,0.0,24279.0,0.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
capacity_noop_c1,noop,standard,4,4,1,100000,5,201380.21975,496573100.0,0.4655,34199.53642384106,0.43472261109555616,41314.76173584013,0.22541595587839938,0.21425123511523278,0.00673979319459713,0.03551682521667001,0.4655,0.43472261109555616,0.5,0.114825823,0.0,7063.0,4846.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
capacity_noop_c16,noop,standard,4,4,16,100000,5,931374.466555,107368200.0,0.12394,8609.616769341548,0.1687332506699732,6927.92905948553,1.968818514234196,1.9271730363366435,0.04319435363543395,0.20145257161803962,0.12394,0.1687332506699732,7.23597,0.185742275,0.0,1982.0,2760.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
capacity_noop_c256,noop,standard,4,4,256,100000,5,1039848.015814,96167900.0,0.06965,9879.926335174954,0.09111635534578617,8884.287389404115,2.4016277780839554,2.3075308912849297,0.048120006779809064,0.34450268748719687,0.06965,0.09111635534578617,126.85346,0.143335419,0.0,1268.0,1626.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
producer_noop_p1,noop,standard,4,1,64,100000,5,1065881.041281,93819100.0,0.00154,21729.23076923077,0.6209651613935443,3136.818066076771,0.4543840220168388,1.0827486087587708,0.03007170181764694,0.2434877333080364,0.00154,0.6209651613935443,5.23645,0.053142096,0.0,0.0,12233.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
producer_noop_p2,noop,standard,4,2,64,100000,5,1074063.094762,93104400.0,0.0048,6534.4559585492225,0.390644374225031,3301.8635130292328,1.2110082874708392,1.6037093843040715,0.047192184257672035,0.20883868001941905,0.0048,0.390644374225031,6.15296,0.053748764,0.0,61.0,7321.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
worker_light_w1,light_cpu,standard,1,4,64,100000,5,868841.4347,115095800.0,0.96615,4038.0903586399627,9.99990000099999e-05,181266.66666666666,0.09636754772980421,0.12445892899654028,0.3876674909075744,0.06122638706190843,0.96615,9.99990000099999e-05,62.90724,0.0,0.0,2001.0,0.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
worker_light_w2,light_cpu,standard,2,4,64,100000,5,838560.359575,119252000.0,0.74568,3650.0334047824513,0.00015999680006399873,156750.0,0.9996209707174722,0.7561894140140207,0.4729421728776037,0.1625364773756415,0.74568,0.00015999680006399873,62.43482,0.01628,0.0,14074.0,0.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
worker_light_w4,light_cpu,standard,4,4,64,100000,5,1027925.656305,97283300.0,0.1811,5482.4458697430155,0.05132794688212471,7613.705318221448,2.317124316300948,2.1945143719425637,0.5323740045824926,0.34562972267593717,0.1811,0.05132794688212471,44.0224,0.063831071,0.0,2043.0,895.0,13.22965939141123,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
worker_light_w8,light_cpu,standard,8,4,64,100000,5,839225.39496,119157500.0,0.06356,8190.9286225829555,0.28713702903767696,11703.751446911501,2.494232423473134,3.0544036254537064,0.46978830539412125,0.4288399806978159,0.06356,0.28713702903767696,18.37082,0.17405048,0.0,782.0,6383.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
worker_noop_w1,noop,standard,1,4,64,100000,5,1079779.509024,92611500.0,0.74649,2965.584328458339,0.00018999810001899982,56594.73684210526,0.7797411768516869,0.36255324662703875,0.025007693429001797,0.08388483071756747,0.74649,0.00018999810001899982,61.36794,0.0,0.0,24262.0,0.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
worker_noop_w2,noop,standard,2,4,64,100000,5,1038104.670018,96329400.0,0.44418,3551.9879328200277,0.005399892002159957,7480.941176470588,1.639065539700237,1.2395810624793677,0.04235778485073093,0.15355851899835357,0.44418,0.005399892002159957,59.18761,0.04852,0.0,9407.0,90.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
worker_noop_w4,noop,standard,4,4,64,100000,5,1025736.761072,97490900.0,0.10929,6051.962668130662,0.08665653373865045,6400.034618047542,2.2666218077789826,2.157139794585956,0.04609455856905619,0.304678693088278,0.10929,0.08665653373865045,37.67339,0.044528849,0.0,1756.0,1808.0,24.354444523811946,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
worker_noop_w8,noop,standard,8,4,64,100000,5,865299.666254,115566900.0,0.02513,7194.538794538795,0.40589752819774416,11447.426896262903,2.6667852127209435,3.093993176246832,0.027483647999556965,0.2819639533465032,0.02513,0.40589752819774416,10.3587,0.152704106,0.0,467.0,9957.0,,true,Timing shares are concurrent worker-time divided by wall-time and are non-additive.
