scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,143023900,100,2589500,3000,15300
throughput,1,1,25000,25000,0,141777700,100,1522300,3100,15600
throughput,1,2,25000,25000,0,142315900,100,3297800,3100,14900
throughput,1,3,25000,25000,0,143255200,100,7005200,2800,15100
throughput,2,0,25000,25000,0,86875400,100,728300,2200,10100
throughput,2,1,25000,25000,0,90080200,100,1993500,2100,9900
throughput,2,2,25000,25000,0,90627900,100,1091800,2100,10400
throughput,2,3,25000,25000,0,85948400,100,1750600,2200,9200
throughput,3,0,25000,25000,0,73965500,100,1279000,1500,8000
throughput,3,1,25000,25000,0,75679100,100,3433900,1600,7700
throughput,3,2,25000,25000,0,84952600,100,5542700,1700,8000
throughput,3,3,25000,25000,0,86069800,100,7423100,1500,8100
throughput,4,0,25000,25000,0,106766200,100,1380200,2300,11500
throughput,4,1,25000,25000,0,112028900,100,2892300,2000,11000
throughput,4,2,25000,25000,0,111462200,100,2226500,2300,11300
throughput,4,3,25000,25000,0,101545000,100,1727800,2300,10400
throughput,5,0,25000,25000,0,93112200,100,1579000,2200,9400
throughput,5,1,25000,25000,0,94513100,100,2898700,2100,9800
throughput,5,2,25000,25000,0,96170600,100,2187000,2200,10100
throughput,5,3,25000,25000,0,89073800,100,2483500,2200,9200
