scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,27366,27366,938,7998300,93914500,17682900,4242400,21925300,0.273660000
throughput,1,1,22911,22911,946,8046100,91840200,16563700,3513300,20077000,0.229110000
throughput,1,2,25053,25053,1027,7975500,95795200,17566300,3893300,21459600,0.250530000
throughput,1,3,24670,24670,998,8016700,99938100,15203400,3917100,19120500,0.246700000
throughput,2,0,27923,27923,414,2688300,54224800,14209000,3773200,17982200,0.279230000
throughput,2,1,23449,23449,347,3020100,58818900,10922400,2640400,13562800,0.234490000
throughput,2,2,23172,23172,326,4460300,56446500,10864600,3337700,14202300,0.231720000
throughput,2,3,25456,25456,371,3740900,56412700,12189700,2923500,15113200,0.254560000
throughput,3,0,23214,23214,1336,9702800,51846600,10797200,2752400,13549600,0.232140000
throughput,3,1,27864,27864,1344,4864200,50743400,13318800,2863300,16182100,0.278640000
throughput,3,2,23969,23969,1373,4040400,54641100,11049600,2631600,13681200,0.239690000
throughput,3,3,24953,24953,1345,7577000,51293700,12106100,2773500,14879600,0.249530000
throughput,4,0,24248,24248,1681,10950000,68976400,13271800,3046100,16317900,0.242480000
throughput,4,1,26202,26202,1685,10034000,65343700,15607500,3192600,18800100,0.262020000
throughput,4,2,23238,23238,1563,14041900,62933700,12573600,4310600,16884200,0.232380000
throughput,4,3,26312,26312,1623,9039200,67657500,14312700,3380400,17693100,0.263120000
throughput,5,0,26605,26605,1203,4781400,63320600,12428900,3093300,15522200,0.266050000
throughput,5,1,21591,21591,1004,9284300,61570600,10162100,2709500,12871600,0.215910000
throughput,5,2,25934,25934,1182,5634400,63740400,11700400,3101400,14801800,0.259340000
throughput,5,3,25870,25870,1086,7282300,61313800,11789800,3113000,14902800,0.258700000
