scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,105506300,100,2307800,2800,9300
throughput,1,1,25000,25000,0,103372600,100,1089100,2800,9200
throughput,1,2,25000,25000,0,104146900,100,1742700,2800,9100
throughput,1,3,25000,25000,0,106364000,100,3579300,2800,9500
throughput,2,0,25000,25000,0,96753700,100,1695200,2200,10500
throughput,2,1,25000,25000,0,95849100,100,2667600,2300,10000
throughput,2,2,25000,25000,0,98256000,100,2514700,2300,10000
throughput,2,3,25000,25000,0,93845000,100,1814000,2200,9800
throughput,3,0,25000,25000,0,80076000,200,1603100,1900,9100
throughput,3,1,25000,25000,0,81257700,100,2181000,1800,8900
throughput,3,2,25000,25000,0,79632600,100,2404900,1900,8700
throughput,3,3,25000,25000,0,76041700,100,501400,1900,9000
throughput,4,0,25000,25000,0,91822300,100,1417300,2000,9700
throughput,4,1,25000,25000,0,96790800,100,1369700,2100,10000
throughput,4,2,25000,25000,0,96545400,100,3663800,2000,9400
throughput,4,3,25000,25000,0,94995200,100,3577600,2100,9400
throughput,5,0,25000,25000,0,83366300,100,1981700,1900,8100
throughput,5,1,25000,25000,0,84080200,100,4461900,1900,8000
throughput,5,2,25000,25000,0,84855000,100,3060100,2000,8300
throughput,5,3,25000,25000,0,78484000,100,3018700,1900,7400
