scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,26271,26271,5755,24257600,61527700,1134800,2491200,3626000,0.262710000
throughput,1,1,22376,22376,5045,31849000,56935900,945300,2236200,3181500,0.223760000
throughput,1,2,26809,26809,5624,25694000,60658800,1139400,2514000,3653400,0.268090000
throughput,1,3,24544,24544,5882,30593800,56656200,1081000,2420900,3501900,0.245440000
throughput,2,0,24640,24640,1126,6260500,73353800,1195300,2520400,3715700,0.246400000
throughput,2,1,23010,23010,937,6551800,72433300,1174500,2653700,3828200,0.230100000
throughput,2,2,24419,24419,973,5669800,74179200,1112600,2393400,3506000,0.244190000
throughput,2,3,27931,27931,1289,5248600,71373200,1395800,2679000,4074800,0.279310000
throughput,3,0,24052,24052,1212,4532900,61700000,1054500,2179400,3233900,0.240520000
throughput,3,1,24778,24778,1207,7587100,58534500,1081500,2588800,3670300,0.247780000
throughput,3,2,24174,24174,1145,6906400,59792300,1089400,2242700,3332100,0.241740000
throughput,3,3,26996,26996,1394,4529700,60110200,1229100,2499900,3729000,0.269960000
throughput,4,0,23791,23791,1492,11975400,70667700,1052200,2174300,3226500,0.237910000
throughput,4,1,23672,23672,1646,11268800,71573600,1029600,2204200,3233800,0.236720000
throughput,4,2,23939,23939,1527,9603900,70910900,1039400,2163900,3203300,0.239390000
throughput,4,3,28598,28598,1759,7889500,72263700,1196100,2508200,3704300,0.285980000
throughput,5,0,23275,23275,2989,14378000,54195300,1053400,2108500,3161900,0.232750000
throughput,5,1,25701,25701,3409,16493100,51218400,1139700,2210600,3350300,0.257010000
throughput,5,2,25768,25768,3307,14306600,52015500,1095500,3386700,4482200,0.257680000
throughput,5,3,25256,25256,3341,15207700,51522200,1145700,2278800,3424500,0.252560000
