scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,463772300,100,8350700,2900,66800
throughput,1,1,25000,25000,0,518383600,100,27201100,2300,64600
throughput,1,2,25000,25000,0,534413500,100,27391800,2200,64600
throughput,1,3,25000,25000,0,458163300,100,9093000,2800,66300
throughput,2,0,25000,25000,0,769788500,100,4329400,6500,112700
throughput,2,1,25000,25000,0,807415100,100,4361400,6800,108500
throughput,2,2,25000,25000,0,807938100,200,4563500,7000,107300
throughput,2,3,25000,25000,0,772306500,200,3764700,6500,113300
throughput,3,0,25000,25000,0,641859100,100,1795700,5100,103700
throughput,3,1,25000,25000,0,687863300,100,6508600,5500,99500
throughput,3,2,25000,25000,0,681880600,100,5139900,5500,99000
throughput,3,3,25000,25000,0,650624700,100,3056700,5400,102500
throughput,4,0,25000,25000,0,506227200,100,2359000,6200,73200
throughput,4,1,25000,25000,0,563101400,100,11728700,5700,72100
throughput,4,2,25000,25000,0,559140600,100,3650100,6100,70400
throughput,4,3,25000,25000,0,519459400,100,2238200,6400,75600
throughput,5,0,25000,25000,0,422042100,100,5182100,3300,64200
throughput,5,1,25000,25000,0,428208700,100,4983800,3100,63500
throughput,5,2,25000,25000,0,399567700,100,2280400,2900,60500
throughput,5,3,25000,25000,0,419858500,100,9566900,2900,62100
