scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,27076,27076,103,32621700,42684300,398255200,6153500,404408700,0.270760000
throughput,1,1,21841,21841,87,77240800,38806100,355702300,5159100,360861400,0.218410000
throughput,1,2,23830,23830,86,80179100,45128900,350338100,7416800,357754900,0.238300000
throughput,1,3,27253,27253,112,33398100,42244200,396942200,6360900,403303100,0.272530000
throughput,2,0,25988,25988,15,1983000,101934200,602049800,13433100,615482900,0.259880000
throughput,2,1,23937,23937,17,4258400,98474600,597810100,12496800,610306900,0.239370000
throughput,2,2,24487,24487,12,4599600,116658900,585136200,12048300,597184500,0.244870000
throughput,2,3,25588,25588,18,2045100,100689600,597683700,12812000,610495700,0.255880000
throughput,3,0,24437,24437,13,1596200,69127800,525594000,9208100,534802100,0.244370000
throughput,3,1,25044,25044,11,10302600,71000000,522087900,9785400,531873300,0.250440000
throughput,3,2,24853,24853,11,8631100,72838100,517926800,10949700,528876500,0.248530000
throughput,3,3,25666,25666,13,1709600,73611500,528639500,10198200,538837700,0.256660000
throughput,4,0,26316,26316,14,1854500,58271200,431177600,7236200,438413800,0.263160000
throughput,4,1,23384,23384,12,3889500,56239200,426007200,7598600,433605800,0.233840000
throughput,4,2,24557,24557,13,2808100,58965400,429314600,7659500,436974100,0.245570000
throughput,4,3,25743,25743,13,2013900,58866100,428932100,7672200,436604300,0.257430000
throughput,5,0,25185,25185,6,1215100,37095800,340864900,5292300,346157200,0.251850000
throughput,5,1,25113,25113,7,1051000,35595000,340710100,5301300,346011400,0.251130000
throughput,5,2,24578,24578,7,597900,32579500,338803700,5504600,344308300,0.245780000
throughput,5,3,25124,25124,8,749500,36871900,339200000,5627600,344827600,0.251240000
