scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,483256700,100,3304400,1800,99300
throughput,1,1,25000,25000,0,476738200,200,3350800,1600,99300
throughput,1,2,25000,25000,0,439129800,100,3453700,1600,99000
throughput,1,3,25000,25000,0,478678700,100,5117400,1600,99200
throughput,2,0,25000,25000,0,445913400,100,2880600,1700,103400
throughput,2,1,25000,25000,0,490615900,100,2900600,1800,103500
throughput,2,2,25000,25000,0,495132000,100,3476400,1800,103300
throughput,2,3,25000,25000,0,364113000,100,4123000,1700,98300
throughput,3,0,25000,25000,0,580566900,100,2630500,1600,116000
throughput,3,1,25000,25000,0,571782800,100,2028500,1700,116000
throughput,3,2,25000,25000,0,530678400,100,2423000,1400,114700
throughput,3,3,25000,25000,0,533110600,200,2366700,1500,115500
throughput,4,0,25000,25000,0,432289100,100,3931300,1500,98700
throughput,4,1,25000,25000,0,432177700,100,5165400,1400,98800
throughput,4,2,25000,25000,0,390143000,100,5165900,1500,97600
throughput,4,3,25000,25000,0,411038400,200,3753700,1500,98400
throughput,5,0,25000,25000,0,988812300,100,2277500,3200,297700
throughput,5,1,25000,25000,0,1003592200,200,3504600,3300,301000
throughput,5,2,25000,25000,0,1017361300,200,3286600,3300,299400
throughput,5,3,25000,25000,0,940930200,200,2738200,2900,293600
