scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,20087,20087,10395,436180200,24610100,585200,3297200,3882400,0.200870000
throughput,1,1,23141,23141,10268,436369900,23023000,643100,3320100,3963200,0.231410000
throughput,1,2,28139,28139,11634,431996100,24331900,794500,4137200,4931700,0.281390000
throughput,1,3,28633,28633,12845,429615600,24356400,781400,4240600,5022000,0.286330000
throughput,2,0,20500,20500,9435,446287400,24408100,742100,3119100,3861200,0.205000000
throughput,2,1,26208,26208,10645,433972600,28866700,804800,3919100,4723900,0.262080000
throughput,2,2,24938,24938,10888,434511300,31560700,837100,3981900,4819000,0.249380000
throughput,2,3,28354,28354,11317,432223400,32660000,962800,4534700,5497500,0.283540000
throughput,3,0,30428,30428,11546,515146600,31340500,1074900,6224500,7299400,0.304280000
throughput,3,1,22623,22623,9822,526735600,24241000,832800,4184900,5017700,0.226230000
throughput,3,2,22806,22806,9925,526143600,27199600,803200,4002200,4805400,0.228060000
throughput,3,3,24143,24143,10994,526574200,23610300,867600,4165800,5033400,0.241430000
throughput,4,0,25872,25872,11377,381203100,23872200,840100,4951600,5791700,0.258720000
throughput,4,1,23007,23007,9298,381865900,23939500,684300,3443400,4127700,0.230070000
throughput,4,2,25372,25372,11934,379272000,27497600,720400,3878200,4598600,0.253720000
throughput,4,3,25749,25749,10929,379530500,25039600,769200,5363500,6132700,0.257490000
throughput,5,0,26575,26575,11645,863897200,79524400,1989600,11202400,13192000,0.265750000
throughput,5,1,22617,22617,9801,877029900,79591700,1474100,8718600,10192700,0.226170000
throughput,5,2,24490,24490,10379,870770900,78700500,1633500,10375200,12008700,0.244900000
throughput,5,3,26318,26318,11649,866910800,77091300,2122600,12033300,14155900,0.263180000
