scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,50000,50000,0,86076000,100,569400,1100,4200
throughput,1,1,50000,50000,0,90376600,100,707600,1100,4500
throughput,2,0,50000,50000,0,102468000,100,647700,1600,4300
throughput,2,1,50000,50000,0,104624400,100,423200,1600,4300
throughput,3,0,50000,50000,0,91801700,100,601000,1200,4700
throughput,3,1,50000,50000,0,88423500,100,407400,1200,4400
throughput,4,0,50000,50000,0,79996300,100,781900,1000,4000
throughput,4,1,50000,50000,0,78785000,100,479600,1000,3900
throughput,5,0,50000,50000,0,80168300,100,486300,1000,3900
throughput,5,1,50000,50000,0,84743500,100,1370800,1100,3900
