scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,27901,27901,10233,30034200,41430900,1137500,5324600,6462100,0.279010000
throughput,1,1,24466,24466,9789,34330000,38449200,1043800,5186800,6230600,0.244660000
throughput,1,2,23048,23048,9538,33897200,40102300,1017600,4479400,5497000,0.230480000
throughput,1,3,24585,24585,9506,30729200,41658000,1119100,4783400,5902500,0.245850000
throughput,2,0,25257,25257,16411,50247900,35322900,1138200,4749800,5888000,0.252570000
throughput,2,1,26235,26235,16083,47210000,36404700,1169000,4822200,5991200,0.262350000
throughput,2,2,22751,22751,14784,48484400,37388800,1057200,5151300,6208500,0.227510000
throughput,2,3,25757,25757,15522,46404200,36667300,1245900,4720500,5966400,0.257570000
throughput,3,0,24707,24707,10118,32991200,40573900,1099400,4286300,5385700,0.247070000
throughput,3,1,24550,24550,10229,34451300,39058600,1019000,5002900,6021900,0.245500000
throughput,3,2,25653,25653,10860,33179600,39632500,1037800,5118100,6155900,0.256530000
throughput,3,3,25090,25090,10144,36770400,37308000,1237600,4315300,5552900,0.250900000
throughput,4,0,25601,25601,8755,26789600,36374300,1083600,4803400,5887000,0.256010000
throughput,4,1,25649,25649,8542,26092800,34996100,1281300,5021800,6303100,0.256490000
throughput,4,2,23514,23514,8480,25471000,36630100,1028100,5199500,6227600,0.235140000
throughput,4,3,25236,25236,8772,25452600,35836300,1054000,5506000,6560000,0.252360000
throughput,5,0,27190,27190,8169,27592300,39187700,1226900,4715400,5942300,0.271900000
throughput,5,1,26573,26573,7353,24456000,41654700,1159000,4392500,5551500,0.265730000
throughput,5,2,20475,20475,6472,35620700,34932200,848700,3949200,4797900,0.204750000
throughput,5,3,25762,25762,7304,31573300,33537800,1134000,4484400,5618400,0.257620000
