scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,102718800,100,2895300,2500,4500
throughput,1,1,25000,25000,0,100112700,100,3134100,2500,4500
throughput,1,2,25000,25000,0,90621800,100,1960200,2600,4500
throughput,1,3,25000,25000,0,95800700,100,3984200,2600,4500
throughput,2,0,25000,25000,0,109458700,100,1645700,3700,5000
throughput,2,1,25000,25000,0,112405500,100,2930300,3700,4900
throughput,2,2,25000,25000,0,113363100,100,3124700,3700,4900
throughput,2,3,25000,25000,0,104359800,100,1488600,3700,4900
throughput,3,0,25000,25000,0,138570300,100,2111400,3900,8200
throughput,3,1,25000,25000,0,136151800,100,1870600,3900,8200
throughput,3,2,25000,25000,0,138635000,100,2884300,3900,8200
throughput,3,3,25000,25000,0,138252600,100,2452200,3900,8300
throughput,4,0,25000,25000,0,97638500,100,1806400,2800,5000
throughput,4,1,25000,25000,0,110924000,100,2013700,2800,5000
throughput,4,2,25000,25000,0,112337400,100,4181900,2800,4500
throughput,4,3,25000,25000,0,114150900,100,5488000,2800,5000
throughput,5,0,25000,25000,0,109563800,100,2695300,3100,4600
throughput,5,1,25000,25000,0,104801700,100,1230000,3100,4600
throughput,5,2,25000,25000,0,107872800,100,4104000,3100,4600
throughput,5,3,25000,25000,0,104863000,100,1733700,3100,4600
