scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,11413,11413,3696,48910100,60574300,12199000,10768400,22967400,0.114130000
throughput,1,1,9001,9001,3214,46696200,57877700,6522000,10218500,16740500,0.090010000
throughput,1,2,9574,9574,3075,56113500,62127500,6117800,6205700,12323500,0.095740000
throughput,1,3,14116,14116,3748,52624200,71586000,9534500,11678500,21213000,0.141160000
throughput,1,4,15477,15477,4380,49919600,75950000,10507500,6957300,17464800,0.154770000
throughput,1,5,12451,12451,3231,63441400,64896500,12468400,7813000,20281400,0.124510000
throughput,1,6,13981,13981,3720,63024000,65935900,8763300,8128300,16891600,0.139810000
throughput,1,7,13987,13987,3652,45661300,75692400,10125500,11798400,21923900,0.139870000
throughput,2,0,11744,11744,2777,54849700,67238200,7183200,4827800,12011000,0.117440000
throughput,2,1,13236,13236,2663,68595200,53791800,8883000,4471900,13354900,0.132360000
throughput,2,2,11106,11106,2776,56392400,66800900,8894300,6842600,15736900,0.111060000
throughput,2,3,14506,14506,3203,41934600,70242600,9406900,9265200,18672100,0.145060000
throughput,2,4,10163,10163,2212,47452900,60026100,6532800,11098700,17631500,0.101630000
throughput,2,5,15535,15535,2839,55743500,67474700,10413300,5471900,15885200,0.155350000
throughput,2,6,8255,8255,2554,48895100,56297200,5489500,3412900,8902400,0.082550000
throughput,2,7,15455,15455,3055,43785800,74705400,10052900,6105400,16158300,0.154550000
throughput,3,0,10652,10652,4617,63973900,30284600,5165700,4585000,9750700,0.106520000
throughput,3,1,14876,14876,5411,49317600,43270100,7224500,3421200,10645700,0.148760000
throughput,3,2,12903,12903,4516,60537100,35399700,6511400,4510500,11021900,0.129030000
throughput,3,3,14311,14311,5021,50695900,42990500,6899300,3727900,10627200,0.143110000
throughput,3,4,12228,12228,4850,52589900,40358800,6415100,4554100,10969200,0.122280000
throughput,3,5,12079,12079,4959,58041300,32334000,5857400,4726100,10583500,0.120790000
throughput,3,6,13063,13063,4591,49730200,36751600,10130600,4583900,14714500,0.130630000
throughput,3,7,9888,9888,4047,59997100,35511900,6095200,2004400,8099600,0.098880000
throughput,4,0,14384,14384,5147,48961700,48593600,6662200,4174600,10836800,0.143840000
throughput,4,1,10904,10904,4396,48292600,45161200,5073000,7579600,12652600,0.109040000
throughput,4,2,10731,10731,4450,45376400,50008500,6472700,3434700,9907400,0.107310000
throughput,4,3,11515,11515,4150,48766400,40354700,7037100,2862500,9899600,0.115150000
throughput,4,4,11942,11942,4738,53337000,46311700,5733800,3321600,9055400,0.119420000
throughput,4,5,13118,13118,4812,49538000,48845000,5768000,4302800,10070800,0.131180000
throughput,4,6,13424,13424,4180,50120400,44991600,6743900,6199300,12943200,0.134240000
throughput,4,7,13982,13982,5217,53020000,39688800,7068800,4056800,11125600,0.139820000
throughput,5,0,10414,10414,3056,32337200,41692300,5802300,6950100,12752400,0.104140000
throughput,5,1,15008,15008,3218,30964000,49027700,7704500,9375800,17080300,0.150080000
throughput,5,2,9341,9341,2009,33137100,28567900,4256900,3419300,7676200,0.093410000
throughput,5,3,10283,10283,2810,36688200,37527500,8962200,10466400,19428600,0.102830000
throughput,5,4,14279,14279,3884,32232900,41938000,8051500,5367700,13419200,0.142790000
throughput,5,5,13274,13274,3014,30010400,47686400,6957900,5171000,12128900,0.132740000
throughput,5,6,9283,9283,1587,35085000,26913200,5177000,2498200,7675200,0.092830000
throughput,5,7,18118,18118,3365,30784800,47915500,9066500,7851000,16917500,0.181180000
