scenario,iteration,worker_index,tasks_dequeued,tasks_executed,dequeue_wait_count,dequeue_wait_ns,dequeue_lock_ns,callback_compute_ns,callback_accounting_ns,callback_combined_ns,task_share
throughput,1,0,28274,28274,3183,23639300,49789300,1188800,8408000,9596800,0.282740000
throughput,1,1,21563,21563,2377,18893800,56158300,930500,8891700,9822200,0.215630000
throughput,1,2,22789,22789,2403,18351100,51652400,968500,7546300,8514800,0.227890000
throughput,1,3,27374,27374,2806,19578200,52701500,1406000,7966000,9372000,0.273740000
throughput,2,0,26339,26339,3019,21675900,53114800,1075000,6270000,7345000,0.263390000
throughput,2,1,23636,23636,2632,18876200,55406600,995500,7815900,8811400,0.236360000
throughput,2,2,24933,24933,2902,21764900,49893700,1561800,8072800,9634600,0.249330000
throughput,2,3,25092,25092,2904,17183700,50668200,1092300,7544700,8637000,0.250920000
throughput,3,0,26069,26069,2154,12959200,68877400,1255600,9887300,11142900,0.260690000
throughput,3,1,25144,25144,2259,15207400,67718000,1115800,7860400,8976200,0.251440000
throughput,3,2,23157,23157,2029,13014700,71992500,1043400,8155400,9198800,0.231570000
throughput,3,3,25630,25630,2224,14281400,67805900,1166600,9272100,10438700,0.256300000
throughput,4,0,27522,27522,1878,6879200,57106200,1084100,4828600,5912700,0.275220000
throughput,4,1,23421,23421,1803,7628600,55485300,963600,7230400,8194000,0.234210000
throughput,4,2,23158,23158,1864,9784000,54158500,924400,5743300,6667700,0.231580000
throughput,4,3,25899,25899,1970,9718900,52536000,1033900,5328700,6362600,0.258990000
throughput,5,0,26264,26264,1494,5722800,55711500,1086100,5084600,6170700,0.262640000
throughput,5,1,23798,23798,1540,13611600,48053400,965100,6439400,7404500,0.237980000
throughput,5,2,25024,25024,1746,6597800,51621600,1039800,5054000,6093800,0.250240000
throughput,5,3,24914,24914,1688,6004200,53739200,999400,6554100,7553500,0.249140000
