scenario,iteration,producer_index,tasks_attempted,tasks_accepted,tasks_rejected,submit_total_ns,submit_min_ns,submit_max_ns,submit_p50_ns,submit_p95_ns
throughput,1,0,25000,25000,0,97657500,100,2183000,2000,9000
throughput,1,1,25000,25000,0,118453300,100,8451200,1500,8200
throughput,1,2,25000,25000,0,119080300,100,5612500,1900,9300
throughput,1,3,25000,25000,0,99734500,100,2813800,2100,9100
throughput,2,0,25000,25000,0,97751900,100,7266500,1600,7500
throughput,2,1,25000,25000,0,99281800,100,3208500,1700,8300
throughput,2,2,25000,25000,0,85729200,100,9787600,1500,7800
throughput,2,3,25000,25000,0,100206800,100,19905000,1300,6400
throughput,3,0,25000,25000,0,109484900,100,5889400,2000,8900
throughput,3,1,25000,25000,0,112063100,100,3634800,2000,9900
throughput,3,2,25000,25000,0,108073600,100,3215200,2000,9200
throughput,3,3,25000,25000,0,103488000,100,4603400,2000,9100
throughput,4,0,25000,25000,0,96099100,100,3630500,2000,9100
throughput,4,1,25000,25000,0,92966600,100,4281100,2000,8500
throughput,4,2,25000,25000,0,94708800,100,7406100,1200,6600
throughput,4,3,25000,25000,0,95305600,100,2473000,2000,8900
throughput,5,0,25000,25000,0,109962600,100,6633100,2100,9000
throughput,5,1,25000,25000,0,113923100,100,5896900,1900,9600
throughput,5,2,25000,25000,0,114631500,100,8648200,2000,9100
throughput,5,3,25000,25000,0,95159300,100,1763500,2100,8800
